timestamp,temperature_C,humidity_percent
2026/4/17 1:03,24.35,69.22
2026/4/17 1:03,24.35,68.93
2026/4/17 1:04,24.33,68.79
2026/4/17 1:04,24.33,68.74
2026/4/17 15:56,25.62,73.2
2026/4/17 15:56,25.58,73.08
2026/4/17 17:01,25.54,64.39
2026/4/17 17:01,25.42,64.5
2026/4/17 17:01,24.99,62.21
2026/4/17 17:01,24.8,64.7
2026/4/17 17:01,24.56,64.67
2026/4/17 17:01,24.47,63.25
2026/4/17 17:01,24.5,62.78
2026/4/17 17:02,24.37,62.68
2026/4/17 17:02,24.32,62.63
2026/4/17 17:02,24.23,62.73
2026/4/17 17:02,24.25,62.89
2026/4/17 17:02,24.19,63.03
2026/4/17 17:02,24.1,63.12
2026/4/17 17:02,24.04,63.2
2026/4/17 17:02,23.94,63.32
2026/4/17 17:02,23.85,63.54
2026/4/17 17:02,23.78,63.84
2026/4/17 17:02,23.81,64.34
2026/4/17 17:02,23.78,64.41
2026/4/17 17:03,23.75,64.42
2026/4/17 17:03,23.77,64.5
2026/4/17 17:03,23.71,64.49
2026/4/17 17:03,23.64,64.53
2026/4/17 17:03,23.58,64.56
2026/4/17 17:03,23.55,64.65
2026/4/17 17:03,23.5,64.77
2026/4/17 17:03,23.48,64.85
2026/4/17 17:03,23.41,64.93
2026/4/17 17:03,23.31,65.01
2026/4/17 17:03,23.24,65.22
2026/4/17 17:04,23.23,65.33
2026/4/17 17:04,23.2,65.41
2026/4/17 17:04,23.16,65.54
2026/4/17 17:04,23.13,65.63
2026/4/17 17:04,23.07,65.83
2026/4/17 17:04,23.09,65.92
2026/4/17 17:04,22.96,65.92
2026/4/17 17:04,22.98,66.2
2026/4/17 17:04,22.89,66.28
2026/4/17 17:04,22.88,66.47
2026/4/17 17:04,22.86,66.54
2026/4/17 17:04,22.85,66.61
2026/4/17 17:05,22.8,66.7
2026/4/17 17:05,22.8,66.74
2026/4/17 17:05,22.76,66.77
2026/4/17 17:05,22.72,66.82
2026/4/17 17:05,22.68,67.11
2026/4/17 17:05,22.69,67.26
2026/4/17 17:05,22.68,67.31
2026/4/17 17:05,22.66,67.35
2026/4/17 17:05,22.63,67.42
2026/4/17 17:05,22.62,67.58
2026/4/17 17:05,22.65,67.69
2026/4/17 17:05,22.68,67.67
2026/4/17 17:06,22.7,67.71
2026/4/17 17:06,22.62,68.04
2026/4/17 17:06,22.65,68
2026/4/17 17:06,22.63,67.83
2026/4/17 17:06,22.62,67.71
2026/4/17 17:06,22.59,67.62
2026/4/17 17:06,22.53,67.64
2026/4/17 17:06,22.51,67.7
2026/4/17 17:06,22.47,67.8
2026/4/17 17:06,22.42,67.9
2026/4/17 17:06,22.42,67.97
2026/4/17 17:06,22.4,68.12
2026/4/17 17:07,22.41,68.26
2026/4/17 17:07,22.38,68.23
2026/4/17 17:07,22.37,68.26
2026/4/17 17:07,22.35,68.26
2026/4/17 17:07,22.32,68.24
2026/4/17 17:07,22.37,68.22
2026/4/17 17:07,22.32,68.2
2026/4/17 17:07,22.27,68.3
2026/4/17 17:07,22.28,68.47
2026/4/17 17:07,22.3,68.54
2026/4/17 17:07,22.28,68.53
2026/4/17 17:07,22.28,68.58
2026/4/17 17:08,22.3,68.58
2026/4/17 17:08,22.28,68.58
2026/4/17 17:08,22.31,68.64
2026/4/17 17:08,22.32,68.57
2026/4/17 17:08,22.37,68.54
2026/4/17 17:08,22.32,68.5
